200	WF32      	000001	S_MTART                       	EQ	Z007
200	PO12      	000010	S_LGORT                       	EQ	1004
200	WE03      	000002	S_EKGRP                       	EQ	601
200	WE03      	000003	S_EKGRP                       	EQ	602
200	WE03      	000004	S_EKGRP                       	EQ	603
200	WE03      	000001	S_BSART                       	EQ	ZRC1
200	WE02      	000002	S_EKGRP                       	EQ	601
200	WE02      	000003	S_EKGRP                       	EQ	602
200	WE02      	000004	S_EKGRP                       	EQ	603
200	PO03      	000002	S_LGORT                       	EQ	1002
200	WE11      	000001	S_BSART                       	EQ	ZC01
200	WE12      	000001	S_BSART                       	EQ	ZRC1
200	WE11      	000002	S_EKGRP                       	EQ	604
200	WE12      	000002	S_EKGRP                       	EQ	604
200	WE21      	000001	S_BSART                       	EQ	ZC02
200	WE21      	000002	S_EKGRP                       	EQ	605
200	WE31      	000001	S_BSART                       	EQ	ZC04
200	WF03      	000001	S_MTART                       	EQ	Z002
200	WF03      	000002	S_MTART                       	EQ	Z003
200	WF22      	000001	S_MTART                       	EQ	Z008
200	WF23      	000001	S_MTART                       	EQ	Z008
200	WF02      	000001	S_MTART                       	EQ	Z002
200	WF02      	000002	S_MTART                       	EQ	Z003
200	WF24      	000001	S_MTART                       	EQ	Z008
200	WA12      	000001	S_MTART                       	EQ	Z004
200	WA13      	000001	S_MTART                       	EQ	Z004
200	WA14      	000001	S_MTART                       	EQ	Z004
200	WA14      	000002	S_LGORT                       	EQ	1007
200	PO03      	000003	S_LGORT                       	EQ	1003
200	PO03      	000001	S_LGORT                       	EQ	1001
200	WE02      	000001	S_BSART                       	EQ	ZC01
200	WA12      	000002	S_LGORT                       	EQ	1007
200	WA13      	000002	S_LGORT                       	EQ	1007
200	WA31      	000001	S_LGORT                       	EQ	1001
200	WA31      	000002	S_LGORT                       	EQ	1002
200	WA31      	000003	S_LGORT                       	EQ	1003
200	WA32      	000001	S_LGORT                       	EQ	1001
200	WA32      	000002	S_LGORT                       	EQ	1002
200	WA32      	000003	S_LGORT                       	EQ	1003
200	WA33      	000001	S_LGORT                       	EQ	1001
200	WA33      	000002	S_LGORT                       	EQ	1002
200	WA33      	000003	S_LGORT                       	EQ	1003
